listen_order,track_key,technical_verdict,technical_reason,vo_masking_risk,provisional_facet_note,manifest_hash_match,manifest_size_match,decoded_audio_unique,duration_seconds,integrated_lufs,true_peak_dbtp,loudness_range_db,dynamic_range_db,estimated_tempo_bpm_double_time_ambiguous,first_3_seconds_risk,best_loop_start_seconds,best_loop_end_seconds,best_loop_length_seconds,best_loop_score,sample_rate_hz,channels,stereo_correlation
1,uplifting_lofi_walkingaway_013,KEEP — DO NOT RETAG YET,"Usable loop and moderate masking, but it is acoustically close to the other lo-fi tracks rather than technically distinct as corporate.",Medium,Keep uplifting/neutral-adjacent until a human corporate-tone verdict.,True,True,True,156.025,-13.28,0.01,5.3,11.18,161.5,moderate,42.0,57.0,15,0.0142,48000,2,0.7
2,uplifting_lofi_hope_010,KEEP — PRIORITY,"Strong general-purpose technical profile: moderate voice-band density, sensible loudness and usable loop.",Low–medium,No technical reason to change uplifting; limiter needed after normalisation.,True,True,True,163.705,-15.38,0.05,4.9,15.6,117.5,low,56.5,76.5,20,0.0192,48000,2,0.789
3,warm_lofi_humanagain_015,KEEP — NORMALISE,Low voice-band masking and excellent loop point; long file and positive true peak need controlled excerpting.,Low,Tempo may feel mid-time rather than slow.,True,True,True,230.833,-13.93,0.25,4.1,12.47,161.5,moderate,159.0,174.0,15,0.0037,48000,2,0.634
4,neutral_lofi_shimmer_021,KEEP — NORMALISE,Useful neutral bed with gentle opening and good dynamic range; original has positive true peak.,Low–medium,Neutral remains plausible; human listen still authoritative.,True,True,True,180.649,-14.15,0.29,7.9,19.52,161.5,low,82.0,102.0,20,0.0112,48000,2,0.841
5,uplifting_lofi_springsight_011,KEEP — CONDITIONAL,"Lowest masking risk and quietest master, but highly dynamic and the weakest loop seam in the batch.",Low,Tempo estimator is double-time ambiguous; retain pending listen.,True,True,True,131.953,-16.73,-0.2,7.5,24.24,161.5,low,90.5,105.5,15,0.0348,48000,2,0.685
6,uplifting_lofi_tranquilmind_012,HOLD,"Busy first three seconds, high onset density, high voice-band energy and positive true peak.",High,Energy likely reads above low; calm/uplifting boundary needs human review.,True,True,True,153.529,-13.79,0.23,5.3,13.08,143.6,high,113.0,133.0,20,0.0053,48000,2,0.778
7,uplifting_lofi_bubbles_014,KEEP — CONDITIONAL,Excellent short-loop seam and workable brightness; slightly hot peak and moderate voice-band density.,Medium,Tempo may feel slower than the manifest's mid label.,True,True,True,147.625,-13.69,0.02,5.0,12.77,129.2,low,58.0,73.0,15,0.003,48000,2,0.887
8,warm_lofi_sunlight_016,KEEP — PRIORITY,"Gentle fade-in, low voice-band masking, good dynamics and a solid 20-second loop.",Low,Warm/slow remains technically consistent.,True,True,True,178.225,-15.83,-0.09,7.0,19.03,143.6,low,34.0,54.0,20,0.0152,48000,2,0.524
9,warm_lofi_warmfuzz_017,HOLD,Excellent loopability but extremely high voice-band energy; most likely to mask narration.,High,Energy/tempo need human review; use only if texture is intentionally prominent.,True,True,True,172.585,-14.17,0.1,6.9,13.09,129.2,low,35.0,50.0,15,0.0028,48000,2,0.922
10,warm_lofi_rooftops_018,KEEP — CONDITIONAL,"Warm, relatively low masking profile; loop seam is only workable rather than excellent.",Low–medium,Tempo may feel mid-time rather than slow.,True,True,True,214.441,-14.88,-0.2,5.5,12.73,161.5,low,95.5,110.5,15,0.0221,48000,2,0.636
11,calm_lofi_calmcurrents_019,KEEP,"Cleanest calm VO bed: low mid-band masking, safe true peak, good dynamics.",Low,Keep calm; tempo may read mid-time rather than slow.,True,True,True,147.625,-15.08,-0.9,9.3,16.26,161.5,low,16.5,46.5,30,0.0106,48000,2,0.731
12,calm_lofi_saturation_020,HOLD,Very loud and highly compressed (LRA 0.7 dB) with heavy mid-band energy; likely to compete with narration.,High,Energy should be reviewed upward; not a low-energy technical profile.,True,True,True,155.953,-10.51,-0.09,0.7,5.36,92.3,moderate,117.0,137.0,20,0.0065,48000,2,0.848
13,neutral_lofi_softreset_022,KEEP,Balanced neutral candidate with strong loop candidates and moderate voice-band density.,Low–medium,Keep neutral; slow classification is technically plausible.,True,True,True,185.545,-14.08,-0.05,5.8,14.07,143.6,low,105.5,120.5,15,0.0067,48000,2,0.757
